0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:53:47 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:54:11 +0530] "GET /MusicEra/ HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:54:11 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:54:11 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:54:11 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:54:26 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:56:55 +0530] "GET /MusicEra/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:56:55 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:56:55 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:56:55 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:01:28 +0530] "GET /MusicEra/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:01:28 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:01:28 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:01:28 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 404 1192
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 404 1114
